"","Bacteroidetes_Sum","Firmicutes_Sum","Ratio"
"CtrlPN 1",0.65940085455,0.30167234574,2.18581803689196
"CtrlPN 2",0.6024376496,0.3803015346,1.58410522911416
"CtrlPN 3",0.72686405901,0.22719399938,3.19931010939361
"CtrlPN 4",0.511495087,0.465680874,1.09838113514621
"CtrlPN 5",0.5950258323,0.3277496061,1.81548908442761
"CtrlPN 6",0.24432475496,0.722581493649998,0.338127612050836
"MetPN 7",0.49523964972,0.46269347443,1.07034068360288
"MetPN 8",0.56701474926,0.26447291724,2.14394258276909
"MetPN 9",0.52706775998,0.39644277196,1.32949267147486
"MetPN 10",0.35645296844,0.585786465699999,0.608503250436229
