Actinobacteria,Bacteriaunclassified,Bacteroidetes,CandidatusSaccharibacteria,Deferribacteres,Firmicutes,Proteobacteria,Tenericutes,Verrucomicrobia,GP,GN,Ratio
0.0018980243,3.8823225999999996e-4,0.6206107988300004,0,0,0.3768440994699998,8.627384e-5,1.725477e-4,0,0.37874212376999983,0.6212578526300003,0.6096375638016531
0.0017271152100000002,9.869233000000001e-4,0.6391561472099999,0,0,0.35710170916999984,8.22436e-5,9.458015e-4,0,0.35882882437999986,0.64117111561,0.5596459597819153
0.0031418312,8.976661e-4,0.6018850988000001,0,0,0.3894748658000004,0.0044883303,1.122083e-4,0,0.3926166970000004,0.6073833035,0.6464067990304913
0.02944406259,0.00192175709,0.47992449623000005,6.863418e-5,0,0.47638982447000056,0.011805074180000001,4.461222e-4,0,0.5058338870600005,0.49416608388000005,1.0236110966750074
6.9594804e-4,0.011869780399999998,0.5882178691100001,0,0,0.35142796537000015,0.008686463,0,0.03910197,0.35212391341000016,0.6478760825100001,0.5435050357867858
5.4068665e-4,6.007629e-5,0.60448762394,0,0,0.16617103633000002,0,1.501907e-5,0.2287255,0.16671172298000003,0.8332882193000001,0.20006489845739742
0.00123534906,0.0122028342,0.6762180655500001,0,0,0.1386152033,0.003314351,0,0.16841419999999999,0.13985055236,0.86014945075,0.16258866669979094
6.341154e-4,0.019192561,0.6722468536999999,0,0,0.29862604224,0.004311985,0.004988375,0,0.29926015764,0.7007397746999999,0.4270631815756698
0.00102021695,0.0033729616600000002,0.52943011226,0,0,0.4639697217300001,0,0.002207,0,0.4649899386800001,0.53501007392,0.8691237069108534
7.611471400000001e-4,0.00574543333,0.6474660538900001,0,0,0.34246707367,2.700845e-4,0.00329012,0,0.34322822081,0.65677169172,0.5225989870408844
